Blaine,Bellingham,21.1,0,24
Bellingham,Seattle,89.1,1,30
Seattle,Tacoma,33.6,0,37
Tacoma,Portland,143,2,14
Portland,Salem,46.7,0,52
Salem,Eugene,66.2,1,7
Eugene,Redding,376,5,50
Redding,Sacramento,162,2,20
Sacramento,San Francisco,87,1,29
Sacramento,Stockton,48.8,0,47
Stockton,Los Angeles,337,4,50
Los Angeles,Santa Monica,15.7,0,22
Los Angeles,San Diego,120,1,58
San Diego,San Ysidro,16.5,0,20
Seattle,Ellensburg,107,1,43
Portland,The Dalles,83.7,1,23
The Dalles,Hermiston,102,1,39
Sacramento,Reno,132,2,6
Reno,Elko,289,4,0
Santa Monica,Ontario,53.6,1,3
San Diego,Ontario,113,1,44
Ellensburg,Yakima,36,0,38
Yakima,Hermiston,107,1,39
Ellensburg,Spokane,173,2,32
Spokane,Missoula,197,3,6
Missoula,Butte,118,1,45
Hermiston,Boise,250,3,57
Boise,Declo,169,2,25
Declo,Pocatello,72.3,1,5
Declo,Tremonton,102,1,33
Sweet Grass,Helena,205,3,1
Helena,Butte,67.8,1,5
Butte,Idaho Falls,205,2,56
Idaho Falls,Pocatello,51.9,0,48
Pocatello,Tremonton,92.7,1,21
Tremonton,Ogden,38.8,0,36
Ogden,Salt Lake City,38.3,0,38
Elko,Salt Lake City,203,3,14
Salt Lake City,Provo,45,0,45
Provo,Cove Fort,133,1,50
Cove Fort,St. George,127,1,44
St. George,Las Vegas,120,1,48
Las Vegas,Barstow,157,2,17
Barstow,Ontario,79.3,1,12
Butte,Billings,226,3,20
Billings,Buffalo WY,164,2,25
Salt Lake City,Echo,50.5,0,50
Echo,Cheyenne,392,5,41
Cove Fort,Arvada,503,7,26
Arvada,Welby,10.3,0,15
Arvada,Denver,10.2,0,18
Barstow,Flagstaff,352,4,59
Flagstaff,Gallup,186,2,37
Gallup,Albuquerque,140,2,0
Ontario,Palm Springs,71.1,1,8
Palm Springs,Phoenix,268,3,49
Phoenix,Flagstaff,144,2,8
Phoenix,Casa Grande,48.2,0,51
San Diego,Yuma,173,2,32
Yuma,Casa Grande,177,2,27
Casa Grande,Tucson,69.4,1,10
Tucson,Nogales,68.9,1,9
Tucson,Las Cruces,275,3,58
Buffalo WY,Casper,113,1,38
Casper,Cheyenne,178,2,29
Cheyenne,Welby,94.8,1,25
Welby,Denver,8.3,0,15
Denver,Pueblo,112,1,43
Pueblo,Santa Fe,278,3,51
Santa Fe,Albuquerque,62.3,0,59
Albuquerque,Las Cruces,226,3,6
Billings,Bismarck,413,5,50
Bismarck,Fargo,196,2,48
Buffalo WY,Rapid City,210,2,59
Rapid City,Sioux Falls,347,4,50
Cheyenne,Big Springs,151,2,13
Big Springs,Omaha,346,4,52
Denver,Topeka,538,7,22
Topeka,Kansas City,63.8,1,0
Albuquerque,Amarillo,285,4,2
Amarillo,Lubbock,124,1,46
Amarillo,Oklahoma City,260,3,48
Wichita Falls,Oklahoma City,139,2,2
Las Cruces,El Paso,45.2,0,46
El Paso,Kent,158,2,17
Kent,Midland,148,2,5
Kent,San Antonio,394,5,22
Midland,Abilene,148,2,8
Abilene,Ft. Worth,150,2,13
Pembina,Grand Forks,76.6,1,15
Grand Forks,Fargo,81,1,16
Welby,Big Springs,186,2,33
Fargo,Sioux Falls,244,3,31
Sioux Falls,Sioux City,86.8,1,19
Sioux City,Omaha,100,1,34
Omaha,Kansas City,187,2,47
Fargo,Minneapolis,235,3,28
Sioux Falls,Albert Lea,177,2,34
Omaha,Des Moines,138,2,5
Duluth,Minneapolis,154,2,20
Duluth,St. Paul,150,2,12
Minneapolis,Albert Lea,97.3,1,31
St. Paul,Albert Lea,101,1,33
Albert Lea,Des Moines,148,2,13
Des Moines,Kansas City,194,2,50
Kansas City,Wichita,196,2,48
Wichita,Oklahoma City,161,2,20
Oklahoma City,Ardmore,99.1,1,30
Ardmore,Ft. Worth,104,1,36
Ardmore,Dallas,109,1,44
Ft. Worth,Austin,190,2,50
Dallas,Austin,196,2,57
Austin,San Antonio,79.8,1,16
San Antonio,Laredo,156,2,21
San Antonio,Corpus Christi,143,2,0
Ft. Worth,Dallas,32.1,0,35
Minneapolis,St. Paul,14.1,0,19
St. Paul,Eau Claire,82.9,1,21
Albert Lea,La Crosse,126,1,57
Tomah,Portage,68.2,1,3
Eau Claire,Tomah,80.6,1,19
La Crosse,Tomah,44.4,0,47
Portage,Stevens Point,73.3,1,10
Stevens Point,Rothschild,27.7,0,29
Portage,Madison,38.7,0,45
Madison,Milwaukee,79.1,1,21
Milwaukee,Sheboygan,57.1,0,58
Sheboygan,Green Bay,68.8,1,6
Madison,Beloit,54.1,0,58
Beloit,Milwaukee,75.7,1,14
Milwaukee,Chicago,92.1,1,39
Beloit,Rochelle,46.2,0,48
Rochelle,Hillside,67.7,1,7
Des Moines,Davenport,168,2,31
Davenport,Silvis,10.1,0,20
Silvis,Rochelle,82.8,1,16
Silvis,LaSalle,77.9,1,17
LaSalle,Rochelle,46.7,0,47
LaSalle,Joliet,59.2,0,59
Joliet,Chicago,44.5,0,50
Country Club Hills,Chicago,24.8,0,33
Davenport,Normal,135,2,9
LaSalle,Normal,61.2,1,1
Joliet,Normal,94.4,1,27
Normal,Springfield IL,73.9,1,12
Springfield IL,Champaign,86.5,1,26
Country Club Hills,Champaign,111,1,46
Springfield IL,Hannibal,102,1,35
Springfield IL,St. Louis,96.3,1,30
Champaign,Effingham,74.5,1,16
Effingham,Mt. Vernon,69.1,1,7
Kansas City,Columbia MO,125,1,51
Columbia MO,Wentzville,84.4,1,15
Wentzville,St. Louis,41,0,42
St. Louis,Mt. Vernon,79,1,16
Oklahoma City,Tulsa,107,1,37
Tulsa,Springfield MO,181,2,42
Springfield MO,St. Louis,216,3,16
St. Louis,Miner,142,2,5
Miner,Goreville,67,1,3
Goreville,Mt. Vernon,57,0,55
Miner,Memphis,141,2,6
Oklahoma City,Little Rock,339,4,54
Little Rock,Memphis,137,2,7
Dallas,Texarkana,179,2,38
Texarkana,Little Rock,144,2,9
Dallas,Houston,239,3,27
Houston,Galveston,50.9,0,53
Dallas,Shreveport,188,2,43
Shreveport,Lafayette,213,2,59
Houston,Lafayette,217,3,11
Memphis,Jackson,210,3,0
Jackson,Hammond,133,1,59
Hammond,Baton Rouge,45,0,48
Baton Rouge,Lafayette,58.9,1,0
Hammond,LaPlace,36.2,0,37
Hammond,Slidell,48.2,0,47
Baton Rouge,LaPlace,57,0,56
LaPlace,New Orleans,28.9,0,32
New Orleans,Slidell,32.8,0,35
Jackson,Meridian,92.5,1,23
Meridian,Slidell,169,2,26
Shreveport,Jackson,219,3,11
Beloit,Chicago,96.2,1,48
Houlton,Bangor,120,1,52
Bangor,Reading,227,3,27
Reading,Concord,56.2,0,57
Concord,St. Johnsbury,105,1,37
St. Johnsbury,Derby Line,49.5,0,50
Concord,White River Jct.,64,1,1
White River Jct.,St. Johnsbury,60,0,58
White River Jct.,Highgate Springs,130,2,5
Reading,Boston,15.4,0,21
Boston,Weston,17,0,24
Reading,Weston,19.3,0,25
Weston,Sturbridge,51.1,0,52
Weston,Canton,21,0,28
Boston,Canton,20,0,29
Canton,Providence,31.5,0,34
Providence,New Haven,102,1,38
New Haven,Hartford,39,0,40
Hartford,Springfield MA,26.6,0,27
Sturbridge,Springfield MA,36.1,0,38
White River Jct.,Springfield MA,122,1,52
Albany,Springfield MA,87.4,1,24
Albany,Champlain,178,2,40
Albany,Newburgh,90.3,1,25
New York,Newburgh,68.8,1,32
New York,New Haven,81.2,1,38
New York,Newark,12.8,0,28
New York,Teaneck,18.6,0,35
Newark,Teaneck,17.6,0,25
Dunmore,Newburgh,95.6,1,33
Dunmore,Binghamton,58.8,0,59
Schenectady,Binghamton,126,2,2
Albany,Schenectady,18.2,0,24
Syracuse,Schenectady,129,1,59
Syracuse,Binghamton,73.1,1,10
Syracuse,Wellesley Island,99.7,1,39
Dunmore,Hazleton,48.5,0,51
Teaneck,Hazleton,125,2,4
Union Twp.,Hazleton,66.3,1,30
Union Twp.,Newark,45.3,0,46
Union Twp.,Harrisburg,115,1,48
Baltimore,Harrisburg,79.2,1,21
Philadelphia,Newark,85.6,1,33
Philadelphia,Bellmawr,10.1,0,16
Philadelphia,Carlisle,124,2,4
Philadelphia,Baltimore,106,1,46
Harrisburg,Carlisle,23,0,27
Baltimore,Glen Burnie-Annapolis,30.6,0,35
Baltimore,Hancock,101,1,37
Baltimore,Washington DC,38.4,0,53
